city,neighbourhood,latitude,longitude
São Paulo,Jardim Adelaide,-23.4104031,-46.8485139
São Paulo,Jardim Adelfiore,,
São Paulo,Jardim Adélia,-23.1850043,-46.8570628
São Paulo,Jardim Adhemar de Barros,,
São Paulo,Jardim Adutora,-23.6195225,-46.507460472879096
São Paulo,Jardim Aeroporto,-23.2140836,-45.8840069
São Paulo,Jardim Aida,,
São Paulo,Jardim Aimoré,,
São Paulo,Jardim Aladim,,
São Paulo,Jardim Alfredo,-21.4083744,-48.5139366
São Paulo,Jardim Almanara,-23.476468,-46.677270971950605
São Paulo,Jardim Almeida,-23.8013288,-46.7284859
São Paulo,Jardim Almeida Prado,-23.7798947,-46.6899923
São Paulo,Jardim Alpino,-23.7462103,-46.7113451
São Paulo,Jardim Alto Alegre,-20.7901311,-49.3577852
São Paulo,Jardim Alto Paulistano,,
São Paulo,Jardim Alto Pedroso,,
São Paulo,Jardim Alvina,-23.436843000000003,-46.724815392527375
São Paulo,Jardim Alviverde,,
São Paulo,Jardim Alvorada,-23.9595461,-46.2829141
São Paulo,Jardim Alzira,-23.6511205,-46.4994425
São Paulo,Jardim Amália,-23.4121795,-47.4064583
São Paulo,Jardim Amaralina,-23.6040865,-46.79893315521221
São Paulo,Jardim América,-23.4255884,-46.351706
São Paulo,Jardim América da Penha,-23.518679,-46.5532763
São Paulo,Jardim Ampliação,,
São Paulo,Jardim Ana Lúcia,,
São Paulo,Jardim Ana Maria,-23.0982956,-46.978562
São Paulo,Jardim Ana Rosa,-23.0075691,-45.537086
São Paulo,Jardim Anália Franco,-23.5557765,-46.5622613
São Paulo,Jardim Andaraí,,
São Paulo,Jardim Ângela,-23.7125278,-46.7687195
São Paulo,Jardim Angelina,-22.9361656,-45.4538523
São Paulo,Jardim Anhanguera,-20.71764965,-47.894542839003925
São Paulo,Jardim Antártica,-22.3152052,-49.0639414
São Paulo,Jardim Aparecida,-23.2632698,-46.7412145
São Paulo,Jardim Apuana,-23.4524735,-46.5856689
São Paulo,Jardim Apura,-23.7123738,-46.6584285
São Paulo,Jardim Aracati,-23.7223392,-46.7719212
São Paulo,Jardim Arantes,-21.8653013,-51.8483652
São Paulo,Jardim Arco-íris,-23.6227194,-46.9377761
São Paulo,Jardim Aricanduva,,
São Paulo,Jardim Arize,,
São Paulo,Jardim Arizona,,
São Paulo,Jardim Arpoador,-23.5946274,-46.8047135
São Paulo,Jardim Artur Alvim,-23.5331087,-46.4845035
São Paulo,Jardim Assunção,-23.7260533,-46.5606042
São Paulo,Jardim Ataliba Leonel,,
São Paulo,Jardim Atlântico,,
São Paulo,Jardim Augusta,-23.1964707,-45.8786167
São Paulo,Jardim Augusto,-23.5968656,-46.4486002
São Paulo,Jardim Áurea,-23.5225757,-46.3523735
São Paulo,Jardim Aurélia,-23.5959428,-46.6241604
São Paulo,Jardim Aurélio,-22.7175037,-46.8951246
São Paulo,Jardim Aurora,-22.931485,-45.4706603
São Paulo,Jardim Avelino,,
São Paulo,Jardim Avenida,-23.6622797,-47.5791769
São Paulo,Jardim Azano I,,
São Paulo,Jardim Azano II,,
São Paulo,Jardim Bandeirante,-20.5412318,-49.3227381
São Paulo,Jardim Bandeirantes,-22.3934397,-46.9354509
São Paulo,Jardim Bartira,-23.51389305,-46.40237402653444
São Paulo,Jardim Batalha,,
São Paulo,Jardim Beatriz,-23.702032,-46.5741998
São Paulo,Jardim Bela Vista,-23.1772612,-45.8869756
São Paulo,Jardim Belaura,,
São Paulo,Jardim Belcito,,
São Paulo,Jardim Belém,-23.2799587,-46.7451447
São Paulo,Jardim Bélgica,,
São Paulo,Jardim Benfica,,
São Paulo,Jardim Bichinhos,,
São Paulo,Jardim Boa Esperança,-23.4178701,-47.4222726
São Paulo,Jardim Boa Vista,-23.1340899,-45.9099515
São Paulo,Jardim Bom Clima,-20.4265415,-49.9535489
São Paulo,Jardim Bom Pastor,-23.6786285,-46.5512788
São Paulo,Jardim Bom Refúgio,,
São Paulo,Jardim Bonfiglioli,-23.207902,-46.8875032
São Paulo,Jardim Bonito,-24.015519,-48.3418179
São Paulo,Jardim Borba Gato,,
São Paulo,Jardim Botucatu,-23.4549339,-47.5100663
São Paulo,Jardim Bransley,,
São Paulo,Jardim Brasil,-22.1906339,-46.7797241
São Paulo,Jardim Brasil Novo,-22.2795539,-51.492836011255925
São Paulo,Jardim Brasília,-23.5546442,-46.4927353
São Paulo,Jardim Britânia,-23.4345532,-46.7835995
São Paulo,Jardim Bronzato,,
São Paulo,Jardim Buriti,-22.940731,-45.375078763226234
São Paulo,Jardim Caboré,,
São Paulo,Jardim Cabuçu,-23.4254246,-46.5467429
São Paulo,Jardim Cachoeira,-23.6309955,-47.5765682
São Paulo,Jardim Caguassu,,
São Paulo,Jardim Camargo Novo,-23.5043429,-46.3837673
São Paulo,Jardim Cambará,-23.4221168,-46.5559267
